Linux-riscv64, native, symm, calling, timestamp, 1696856870323755
Linux-riscv64, wasmtime, gesummv, main, timestamp, 1696856836435160
Linux-riscv64, wasmtime, gesummv, start, timestamp, 1696856836802826
Linux-riscv64, wasmtime, gesummv, end, timestamp, 1696856836907509
Linux-riscv64, wasmtime, gesummv, accumulated, elapsed time, 104683
Linux-riscv64, wasmtime, gesummv, calling, timestamp, 1696856837001264
WABENCH, wasmtime, gesummv, starting, timestamp, 1696856837024365
Linux-riscv64, wasmtime, gesummv, main, timestamp, 1696856837045339
Linux-riscv64, wasmtime, gesummv, start, timestamp, 1696856837414956
Linux-riscv64, wasmtime, gesummv, end, timestamp, 1696856837519575
Linux-riscv64, wasmtime, gesummv, accumulated, elapsed time, 104619
Linux-riscv64, wasmtime, gesummv, calling, timestamp, 1696856837609037
WABENCH, wasmtime, gesummv, starting, timestamp, 1696856837632116
Linux-riscv64, wasmtime, gesummv, main, timestamp, 1696856837653591
Linux-riscv64, wasmtime, gesummv, start, timestamp, 1696856838021813
Linux-riscv64, wasmtime, gesummv, end, timestamp, 1696856838126510
Linux-riscv64, wasmtime, gesummv, accumulated, elapsed time, 104697
Linux-riscv64, wasmtime, gesummv, calling, timestamp, 1696856838216044
WABENCH, wasmtime, gesummv, starting, timestamp, 1696856838239065
Linux-riscv64, wasmtime, gesummv, main, timestamp, 1696856838260320
Linux-riscv64, wasmtime, gesummv, start, timestamp, 1696856838628302
Linux-riscv64, wasmtime, gesummv, end, timestamp, 1696856838732941
Linux-riscv64, wasmtime, gesummv, accumulated, elapsed time, 104639
Linux-riscv64, wasmtime, gesummv, calling, timestamp, 1696856838821698
WABENCH, wasmtime, gesummv, starting, timestamp, 1696856838844910
Linux-riscv64, wasmtime, gesummv, main, timestamp, 1696856838865822
Linux-riscv64, wasmtime, gesummv, start, timestamp, 1696856839234510
Linux-riscv64, wasmtime, gesummv, end, timestamp, 1696856839339317
Linux-riscv64, wasmtime, gesummv, accumulated, elapsed time, 104807
Linux-riscv64, wasmtime, gesummv, calling, timestamp, 1696856839429357
WABENCH, wasmtime, gesummv, starting, timestamp, 1696856839452494
Linux-riscv64, wasmtime, gesummv, main, timestamp, 1696856839473379
Linux-riscv64, wasmtime, gesummv, start, timestamp, 1696856839842909
Linux-riscv64, wasmtime, gesummv, end, timestamp, 1696856839947466
Linux-riscv64, wasmtime, gesummv, accumulated, elapsed time, 104557
Linux-riscv64, wasmtime, gesummv, calling, timestamp, 1696856840037555
WABENCH, wasmtime, gesummv, starting, timestamp, 1696856840060650
Linux-riscv64, wasmtime, gesummv, main, timestamp, 1696856840082151
Linux-riscv64, wasmtime, gesummv, start, timestamp, 1696856840450394
Linux-riscv64, wasmtime, gesummv, end, timestamp, 1696856840554940
Linux-riscv64, wasmtime, gesummv, accumulated, elapsed time, 104546
Linux-riscv64, wasmtime, gesummv, calling, timestamp, 1696856840644712
WABENCH, wasmtime, gesummv, starting, timestamp, 1696856840667836
Linux-riscv64, wasmtime, gesummv, main, timestamp, 1696856840688860
Linux-riscv64, wasmtime, gesummv, start, timestamp, 1696856841057567
Linux-riscv64, wasmtime, gesummv, end, timestamp, 1696856841162141
Linux-riscv64, wasmtime, gesummv, accumulated, elapsed time, 104574
Linux-riscv64, wasmtime, gesummv, calling, timestamp, 1696856841252391
WABENCH, wasmtime, gesummv, starting, timestamp, 1696856841275570
Linux-riscv64, wasmtime, gesummv, main, timestamp, 1696856841296551
Linux-riscv64, wasmtime, gesummv, start, timestamp, 1696856841665078
Linux-riscv64, wasmtime, gesummv, end, timestamp, 1696856841769759
Linux-riscv64, wasmtime, gesummv, accumulated, elapsed time, 104681
Linux-riscv64, wasmtime, gesummv, calling, timestamp, 1696856841859212
WABENCH, wasmtime, gesummv, starting, timestamp, 1696856841882236
Linux-riscv64, wasmtime, gesummv, main, timestamp, 1696856841903103
Linux-riscv64, wasmtime, gesummv, start, timestamp, 1696856842270990
Linux-riscv64, wasmtime, gesummv, end, timestamp, 1696856842375765
Linux-riscv64, wasmtime, gesummv, accumulated, elapsed time, 104775
Linux-riscv64, iwasm, gesummv, calling, timestamp, 1696856842511065
WABENCH, iwasm, gesummv, starting, timestamp, 1696856842517844
Linux-riscv64, iwasm, gesummv, main, timestamp, 1696856842569185
Linux-riscv64, iwasm, gesummv, start, timestamp, 1696856843696281
Linux-riscv64, iwasm, gesummv, end, timestamp, 1696856844664581
Linux-riscv64, iwasm, gesummv, accumulated, elapsed time, 968300
Linux-riscv64, iwasm, gesummv, calling, timestamp, 1696856845009587
WABENCH, iwasm, gesummv, starting, timestamp, 1696856845016234
Linux-riscv64, iwasm, gesummv, main, timestamp, 1696856845070026
Linux-riscv64, iwasm, gesummv, start, timestamp, 1696856846197201
Linux-riscv64, iwasm, gesummv, end, timestamp, 1696856847165103
Linux-riscv64, iwasm, gesummv, accumulated, elapsed time, 967902
Linux-riscv64, iwasm, gesummv, calling, timestamp, 1696856847511042
WABENCH, iwasm, gesummv, starting, timestamp, 1696856847517768
Linux-riscv64, iwasm, gesummv, main, timestamp, 1696856847572689
Linux-riscv64, iwasm, gesummv, start, timestamp, 1696856848699762
Linux-riscv64, iwasm, gesummv, end, timestamp, 1696856849666234
Linux-riscv64, iwasm, gesummv, accumulated, elapsed time, 966472
Linux-riscv64, iwasm, gesummv, calling, timestamp, 1696856850011900
WABENCH, iwasm, gesummv, starting, timestamp, 1696856850018615
Linux-riscv64, iwasm, gesummv, main, timestamp, 1696856850073309
Linux-riscv64, iwasm, gesummv, start, timestamp, 1696856851200125
Linux-riscv64, iwasm, gesummv, end, timestamp, 1696856852168609
Linux-riscv64, iwasm, gesummv, accumulated, elapsed time, 968484
Linux-riscv64, iwasm, gesummv, calling, timestamp, 1696856852514070
WABENCH, iwasm, gesummv, starting, timestamp, 1696856852520898
Linux-riscv64, iwasm, gesummv, main, timestamp, 1696856852575284
Linux-riscv64, iwasm, gesummv, start, timestamp, 1696856853703066
Linux-riscv64, iwasm, gesummv, end, timestamp, 1696856854669388
Linux-riscv64, iwasm, gesummv, accumulated, elapsed time, 966322
Linux-riscv64, iwasm, gesummv, calling, timestamp, 1696856855014851
WABENCH, iwasm, gesummv, starting, timestamp, 1696856855021558
Linux-riscv64, iwasm, gesummv, main, timestamp, 1696856855073175
Linux-riscv64, iwasm, gesummv, start, timestamp, 1696856856200477
Linux-riscv64, iwasm, gesummv, end, timestamp, 1696856857168321
Linux-riscv64, iwasm, gesummv, accumulated, elapsed time, 967844
Linux-riscv64, iwasm, gesummv, calling, timestamp, 1696856857512396
WABENCH, iwasm, gesummv, starting, timestamp, 1696856857519050
Linux-riscv64, iwasm, gesummv, main, timestamp, 1696856857573834
Linux-riscv64, iwasm, gesummv, start, timestamp, 1696856858701211
Linux-riscv64, iwasm, gesummv, end, timestamp, 1696856859667672
Linux-riscv64, iwasm, gesummv, accumulated, elapsed time, 966461
Linux-riscv64, iwasm, gesummv, calling, timestamp, 1696856860024282
WABENCH, iwasm, gesummv, starting, timestamp, 1696856860030963
Linux-riscv64, iwasm, gesummv, main, timestamp, 1696856860084170
Linux-riscv64, iwasm, gesummv, start, timestamp, 1696856861211956
Linux-riscv64, iwasm, gesummv, end, timestamp, 1696856862178292
Linux-riscv64, iwasm, gesummv, accumulated, elapsed time, 966336
Linux-riscv64, iwasm, gesummv, calling, timestamp, 1696856862522638
WABENCH, iwasm, gesummv, starting, timestamp, 1696856862529432
Linux-riscv64, iwasm, gesummv, main, timestamp, 1696856862581627
Linux-riscv64, iwasm, gesummv, start, timestamp, 1696856863709961
Linux-riscv64, iwasm, gesummv, end, timestamp, 1696856864676068
Linux-riscv64, iwasm, gesummv, accumulated, elapsed time, 966107
Linux-riscv64, iwasm, gesummv, calling, timestamp, 1696856865019009
WABENCH, iwasm, gesummv, starting, timestamp, 1696856865025837
Linux-riscv64, iwasm, gesummv, main, timestamp, 1696856865078444
Linux-riscv64, iwasm, gesummv, start, timestamp, 1696856866208765
Linux-riscv64, iwasm, gesummv, end, timestamp, 1696856867176474
Linux-riscv64, iwasm, gesummv, accumulated, elapsed time, 967709
Linux-riscv64, native, gemm, calling, timestamp, 1696856011036042
Linux-riscv64, native, gemm, starting, timestamp, 1696856011042691
Linux-riscv64, native, gemm, main, timestamp, 1696856011048610
Linux-riscv64, native, gemm, start, timestamp, 1696856011390218
Linux-riscv64, native, gemm, end, timestamp, 1696856041263859
Linux-riscv64, native, gemm, accumulated, elapsed time, 29873641
Linux-riscv64, wasmtime, gemm, calling, timestamp, 1696856063103217
WABENCH, wasmtime, gemm, starting, timestamp, 1696856063126385
Linux-riscv64, wasmtime, gemm, main, timestamp, 1696856063422737
Linux-riscv64, wasmtime, gemm, start, timestamp, 1696856063818437
Linux-riscv64, wasmtime, gemm, end, timestamp, 1696856122935661
Linux-riscv64, wasmtime, gemm, accumulated, elapsed time, 59117224
Linux-riscv64, iwasm, gemm, calling, timestamp, 1696856179107456
WABENCH, iwasm, gemm, starting, timestamp, 1696856179114216
Linux-riscv64, iwasm, gemm, main, timestamp, 1696856179170589
Linux-riscv64, iwasm, gemm, start, timestamp, 1696856180417301
Linux-riscv64, iwasm, gemm, end, timestamp, 1696856615062334
Linux-riscv64, iwasm, gemm, accumulated, elapsed time, 434645033
Linux-riscv64, native, gemver, calling, timestamp, 1696856744978309
Linux-riscv64, native, gemver, starting, timestamp, 1696856744984997
Linux-riscv64, native, gemver, main, timestamp, 1696856744990864
Linux-riscv64, native, gemver, start, timestamp, 1696856745375760
Linux-riscv64, native, gemver, end, timestamp, 1696856745891391
Linux-riscv64, native, gemver, accumulated, elapsed time, 515631
Linux-riscv64, native, gemver, calling, timestamp, 1696856745953363
Linux-riscv64, native, gemver, starting, timestamp, 1696856745960086
Linux-riscv64, native, gemver, main, timestamp, 1696856745965942
Linux-riscv64, native, gemver, start, timestamp, 1696856746350308
Linux-riscv64, native, gemver, end, timestamp, 1696856746871731
Linux-riscv64, native, gemver, accumulated, elapsed time, 521423
Linux-riscv64, native, gemver, calling, timestamp, 1696856746933791
Linux-riscv64, native, gemver, starting, timestamp, 1696856746940449
Linux-riscv64, native, gemver, main, timestamp, 1696856746946229
Linux-riscv64, native, gemver, start, timestamp, 1696856747327980
Linux-riscv64, native, gemver, end, timestamp, 1696856747843682
Linux-riscv64, native, gemver, accumulated, elapsed time, 515702
Linux-riscv64, native, gemver, calling, timestamp, 1696856747906025
Linux-riscv64, native, gemver, starting, timestamp, 1696856747912711
Linux-riscv64, native, gemver, main, timestamp, 1696856747918583
Linux-riscv64, native, gemver, start, timestamp, 1696856748284941
Linux-riscv64, native, gemver, end, timestamp, 1696856748802056
Linux-riscv64, native, gemver, accumulated, elapsed time, 517115
Linux-riscv64, native, gemver, calling, timestamp, 1696856748865563
Linux-riscv64, native, gemver, starting, timestamp, 1696856748872263
Linux-riscv64, native, gemver, main, timestamp, 1696856748878252
Linux-riscv64, native, gemver, start, timestamp, 1696856749262842
Linux-riscv64, native, gemver, end, timestamp, 1696856749779841
Linux-riscv64, native, gemver, accumulated, elapsed time, 516999
Linux-riscv64, native, gemver, calling, timestamp, 1696856749843888
Linux-riscv64, native, gemver, starting, timestamp, 1696856749850543
Linux-riscv64, native, gemver, main, timestamp, 1696856749856317
Linux-riscv64, native, gemver, start, timestamp, 1696856750239032
Linux-riscv64, native, gemver, end, timestamp, 1696856750756472
Linux-riscv64, native, gemver, accumulated, elapsed time, 517440
Linux-riscv64, native, gemver, calling, timestamp, 1696856750820632
Linux-riscv64, native, gemver, starting, timestamp, 1696856750827316
Linux-riscv64, native, gemver, main, timestamp, 1696856750833081
Linux-riscv64, native, gemver, start, timestamp, 1696856751197720
Linux-riscv64, native, gemver, end, timestamp, 1696856751715097
Linux-riscv64, native, gemver, accumulated, elapsed time, 517377
Linux-riscv64, native, gemver, calling, timestamp, 1696856751778657
Linux-riscv64, native, gemver, starting, timestamp, 1696856751785313
Linux-riscv64, native, gemver, main, timestamp, 1696856751791230
Linux-riscv64, native, gemver, start, timestamp, 1696856752157133
Linux-riscv64, native, gemver, end, timestamp, 1696856752674504
Linux-riscv64, native, gemver, accumulated, elapsed time, 517371
Linux-riscv64, native, gemver, calling, timestamp, 1696856752737663
Linux-riscv64, native, gemver, starting, timestamp, 1696856752744351
Linux-riscv64, native, gemver, main, timestamp, 1696856752750237
Linux-riscv64, native, gemver, start, timestamp, 1696856753116495
Linux-riscv64, native, gemver, end, timestamp, 1696856753633849
Linux-riscv64, native, gemver, accumulated, elapsed time, 517354
Linux-riscv64, native, gemver, calling, timestamp, 1696856753697296
Linux-riscv64, native, gemver, starting, timestamp, 1696856753704008
Linux-riscv64, native, gemver, main, timestamp, 1696856753709767
Linux-riscv64, native, gemver, start, timestamp, 1696856754080484
Linux-riscv64, native, gemver, end, timestamp, 1696856754598720
Linux-riscv64, native, gemver, accumulated, elapsed time, 518236
Linux-riscv64, wasmtime, gemver, calling, timestamp, 1696856754709591
WABENCH, wasmtime, gemver, starting, timestamp, 1696856754731803
Linux-riscv64, wasmtime, gemver, main, timestamp, 1696856755029684
Linux-riscv64, wasmtime, gemver, start, timestamp, 1696856755482129
Linux-riscv64, wasmtime, gemver, end, timestamp, 1696856756227929
Linux-riscv64, wasmtime, gemver, accumulated, elapsed time, 745800
Linux-riscv64, wasmtime, gemver, calling, timestamp, 1696856756359942
WABENCH, wasmtime, gemver, starting, timestamp, 1696856756382964
Linux-riscv64, wasmtime, gemver, main, timestamp, 1696856756404160
Linux-riscv64, wasmtime, gemver, start, timestamp, 1696856756839114
Linux-riscv64, wasmtime, gemver, end, timestamp, 1696856757586657
Linux-riscv64, wasmtime, gemver, accumulated, elapsed time, 747543
Linux-riscv64, wasmtime, gemver, calling, timestamp, 1696856757715182
WABENCH, wasmtime, gemver, starting, timestamp, 1696856757737992
Linux-riscv64, wasmtime, gemver, main, timestamp, 1696856757759285
Linux-riscv64, wasmtime, gemver, start, timestamp, 1696856758195624
Linux-riscv64, wasmtime, gemver, end, timestamp, 1696856758942422
Linux-riscv64, wasmtime, gemver, accumulated, elapsed time, 746798
Linux-riscv64, wasmtime, gemver, calling, timestamp, 1696856759070886
WABENCH, wasmtime, gemver, starting, timestamp, 1696856759093806
Linux-riscv64, wasmtime, gemver, main, timestamp, 1696856759114922
Linux-riscv64, wasmtime, gemver, start, timestamp, 1696856759548375
Linux-riscv64, wasmtime, gemver, end, timestamp, 1696856760295680
Linux-riscv64, wasmtime, gemver, accumulated, elapsed time, 747305
Linux-riscv64, wasmtime, gemver, calling, timestamp, 1696856760422873
WABENCH, wasmtime, gemver, starting, timestamp, 1696856760446177
Linux-riscv64, wasmtime, gemver, main, timestamp, 1696856760467027
Linux-riscv64, wasmtime, gemver, start, timestamp, 1696856760902104
Linux-riscv64, wasmtime, gemver, end, timestamp, 1696856761649082
Linux-riscv64, wasmtime, gemver, accumulated, elapsed time, 746978
Linux-riscv64, wasmtime, gemver, calling, timestamp, 1696856761778596
WABENCH, wasmtime, gemver, starting, timestamp, 1696856761801215
Linux-riscv64, wasmtime, gemver, main, timestamp, 1696856761821898
Linux-riscv64, wasmtime, gemver, start, timestamp, 1696856762272621
Linux-riscv64, wasmtime, gemver, end, timestamp, 1696856763020097
Linux-riscv64, wasmtime, gemver, accumulated, elapsed time, 747476
Linux-riscv64, wasmtime, gemver, calling, timestamp, 1696856763148855
WABENCH, wasmtime, gemver, starting, timestamp, 1696856763172135
Linux-riscv64, wasmtime, gemver, main, timestamp, 1696856763193092
Linux-riscv64, wasmtime, gemver, start, timestamp, 1696856763644328
Linux-riscv64, wasmtime, gemver, end, timestamp, 1696856764391605
Linux-riscv64, wasmtime, gemver, accumulated, elapsed time, 747277
Linux-riscv64, wasmtime, gemver, calling, timestamp, 1696856764519386
WABENCH, wasmtime, gemver, starting, timestamp, 1696856764542303
Linux-riscv64, wasmtime, gemver, main, timestamp, 1696856764563196
Linux-riscv64, wasmtime, gemver, start, timestamp, 1696856764998300
Linux-riscv64, wasmtime, gemver, end, timestamp, 1696856765745516
Linux-riscv64, wasmtime, gemver, accumulated, elapsed time, 747216
Linux-riscv64, wasmtime, gemver, calling, timestamp, 1696856765873632
WABENCH, wasmtime, gemver, starting, timestamp, 1696856765896246
Linux-riscv64, wasmtime, gemver, main, timestamp, 1696856765917095
Linux-riscv64, wasmtime, gemver, start, timestamp, 1696856766353628
Linux-riscv64, wasmtime, gemver, end, timestamp, 1696856767100982
Linux-riscv64, wasmtime, gemver, accumulated, elapsed time, 747354
Linux-riscv64, wasmtime, gemver, calling, timestamp, 1696856767229312
WABENCH, wasmtime, gemver, starting, timestamp, 1696856767251759
Linux-riscv64, wasmtime, gemver, main, timestamp, 1696856767272579
Linux-riscv64, wasmtime, gemver, start, timestamp, 1696856767723486
Linux-riscv64, wasmtime, gemver, end, timestamp, 1696856768470498
Linux-riscv64, wasmtime, gemver, accumulated, elapsed time, 747012
Linux-riscv64, iwasm, gemver, calling, timestamp, 1696856768646864
WABENCH, iwasm, gemver, starting, timestamp, 1696856768653486
Linux-riscv64, iwasm, gemver, main, timestamp, 1696856768707947
Linux-riscv64, iwasm, gemver, start, timestamp, 1696856770096809
Linux-riscv64, iwasm, gemver, end, timestamp, 1696856774445021
Linux-riscv64, iwasm, gemver, accumulated, elapsed time, 4348212
Linux-riscv64, iwasm, gemver, calling, timestamp, 1696856774691778
WABENCH, iwasm, gemver, starting, timestamp, 1696856774698426
Linux-riscv64, iwasm, gemver, main, timestamp, 1696856774750345
Linux-riscv64, iwasm, gemver, start, timestamp, 1696856776138363
Linux-riscv64, iwasm, gemver, end, timestamp, 1696856780488484
Linux-riscv64, iwasm, gemver, accumulated, elapsed time, 4350121
Linux-riscv64, iwasm, gemver, calling, timestamp, 1696856780733974
WABENCH, iwasm, gemver, starting, timestamp, 1696856780740563
Linux-riscv64, iwasm, gemver, main, timestamp, 1696856780794795
Linux-riscv64, iwasm, gemver, start, timestamp, 1696856782184220
Linux-riscv64, iwasm, gemver, end, timestamp, 1696856786525673
Linux-riscv64, iwasm, gemver, accumulated, elapsed time, 4341453
Linux-riscv64, iwasm, gemver, calling, timestamp, 1696856786773039
WABENCH, iwasm, gemver, starting, timestamp, 1696856786779732
Linux-riscv64, iwasm, gemver, main, timestamp, 1696856786831147
Linux-riscv64, iwasm, gemver, start, timestamp, 1696856788220736
Linux-riscv64, iwasm, gemver, end, timestamp, 1696856792556766
Linux-riscv64, iwasm, gemver, accumulated, elapsed time, 4336030
Linux-riscv64, iwasm, gemver, calling, timestamp, 1696856792803139
WABENCH, iwasm, gemver, starting, timestamp, 1696856792809869
Linux-riscv64, iwasm, gemver, main, timestamp, 1696856792864931
Linux-riscv64, iwasm, gemver, start, timestamp, 1696856794253281
Linux-riscv64, iwasm, gemver, end, timestamp, 1696856798588614
Linux-riscv64, iwasm, gemver, accumulated, elapsed time, 4335333
Linux-riscv64, iwasm, gemver, calling, timestamp, 1696856798835010
WABENCH, iwasm, gemver, starting, timestamp, 1696856798841712
Linux-riscv64, iwasm, gemver, main, timestamp, 1696856798896553
Linux-riscv64, iwasm, gemver, start, timestamp, 1696856800289851
Linux-riscv64, iwasm, gemver, end, timestamp, 1696856804626594
Linux-riscv64, iwasm, gemver, accumulated, elapsed time, 4336743
