Linux-aarch64, native, floyd-warshall, calling, timestamp, 1696920088500946
Linux-aarch64, iwasm, deriche, main, timestamp, 1696920028451661
Linux-aarch64, iwasm, deriche, start, timestamp, 1696920028582315
Linux-aarch64, iwasm, deriche, end, timestamp, 1696920030179161
Linux-aarch64, iwasm, deriche, accumulated, elapsed time, 1596846
Linux-aarch64, native, nussinov, calling, timestamp, 1696920869601216
Linux-aarch64, native, nussinov, starting, timestamp, 1696920869602404
Linux-aarch64, native, nussinov, main, timestamp, 1696920869603597
Linux-aarch64, native, nussinov, start, timestamp, 1696920869610728
Linux-aarch64, native, nussinov, end, timestamp, 1696920875132694
Linux-aarch64, native, nussinov, accumulated, elapsed time, 5521966
Linux-aarch64, wasmtime, nussinov, calling, timestamp, 1696920879706861
Linux-aarch64, wasmtime, nussinov, starting, timestamp, 1696920879709753
Linux-aarch64, wasmtime, nussinov, main, timestamp, 1696920879750879
Linux-aarch64, wasmtime, nussinov, start, timestamp, 1696920879757716
Linux-aarch64, wasmtime, nussinov, end, timestamp, 1696920886888447
Linux-aarch64, wasmtime, nussinov, accumulated, elapsed time, 7130731
Linux-aarch64, iwasm, nussinov, calling, timestamp, 1696920897692614
WABENCH, iwasm, nussinov, starting, timestamp, 1696920897693961
Linux-aarch64, iwasm, nussinov, main, timestamp, 1696920897699698
Linux-aarch64, iwasm, nussinov, start, timestamp, 1696920897703176
Linux-aarch64, iwasm, nussinov, end, timestamp, 1696920970027255
Linux-aarch64, iwasm, nussinov, accumulated, elapsed time, 72324079
Linux-aarch64, native, atax, calling, timestamp, 1696918815011015
Linux-aarch64, native, atax, starting, timestamp, 1696918815012223
Linux-aarch64, native, atax, main, timestamp, 1696918815013407
Linux-aarch64, native, atax, start, timestamp, 1696918815030026
Linux-aarch64, native, atax, end, timestamp, 1696918815035429
Linux-aarch64, native, atax, accumulated, elapsed time, 5403
Linux-aarch64, native, atax, calling, timestamp, 1696918815042899
Linux-aarch64, native, atax, starting, timestamp, 1696918815044024
Linux-aarch64, native, atax, main, timestamp, 1696918815045157
Linux-aarch64, native, atax, start, timestamp, 1696918815061752
Linux-aarch64, native, atax, end, timestamp, 1696918815067140
Linux-aarch64, native, atax, accumulated, elapsed time, 5388
Linux-aarch64, native, atax, calling, timestamp, 1696918815074386
Linux-aarch64, native, atax, starting, timestamp, 1696918815075525
Linux-aarch64, native, atax, main, timestamp, 1696918815076647
Linux-aarch64, native, atax, start, timestamp, 1696918815093093
Linux-aarch64, native, atax, end, timestamp, 1696918815098423
Linux-aarch64, native, atax, accumulated, elapsed time, 5330
Linux-aarch64, native, atax, calling, timestamp, 1696918815105698
Linux-aarch64, native, atax, starting, timestamp, 1696918815106853
Linux-aarch64, native, atax, main, timestamp, 1696918815107993
Linux-aarch64, native, atax, start, timestamp, 1696918815124560
Linux-aarch64, native, atax, end, timestamp, 1696918815129828
Linux-aarch64, native, atax, accumulated, elapsed time, 5268
Linux-aarch64, native, atax, calling, timestamp, 1696918815137115
Linux-aarch64, native, atax, starting, timestamp, 1696918815138250
Linux-aarch64, native, atax, main, timestamp, 1696918815139381
Linux-aarch64, native, atax, start, timestamp, 1696918815155857
Linux-aarch64, native, atax, end, timestamp, 1696918815161057
Linux-aarch64, native, atax, accumulated, elapsed time, 5200
Linux-aarch64, native, atax, calling, timestamp, 1696918815168318
Linux-aarch64, native, atax, starting, timestamp, 1696918815169440
Linux-aarch64, native, atax, main, timestamp, 1696918815170573
Linux-aarch64, native, atax, start, timestamp, 1696918815187059
Linux-aarch64, native, atax, end, timestamp, 1696918815192280
Linux-aarch64, native, atax, accumulated, elapsed time, 5221
Linux-aarch64, native, atax, calling, timestamp, 1696918815199506
Linux-aarch64, native, atax, starting, timestamp, 1696918815200643
Linux-aarch64, native, atax, main, timestamp, 1696918815201771
Linux-aarch64, native, atax, start, timestamp, 1696918815218194
Linux-aarch64, native, atax, end, timestamp, 1696918815223377
Linux-aarch64, native, atax, accumulated, elapsed time, 5183
Linux-aarch64, native, atax, calling, timestamp, 1696918815230658
Linux-aarch64, native, atax, starting, timestamp, 1696918815231771
Linux-aarch64, native, atax, main, timestamp, 1696918815232897
Linux-aarch64, native, atax, start, timestamp, 1696918815249415
Linux-aarch64, native, atax, end, timestamp, 1696918815254616
Linux-aarch64, native, atax, accumulated, elapsed time, 5201
Linux-aarch64, native, atax, calling, timestamp, 1696918815261819
Linux-aarch64, native, atax, starting, timestamp, 1696918815262952
Linux-aarch64, native, atax, main, timestamp, 1696918815264079
Linux-aarch64, native, atax, start, timestamp, 1696918815280564
Linux-aarch64, native, atax, end, timestamp, 1696918815285767
Linux-aarch64, native, atax, accumulated, elapsed time, 5203
Linux-aarch64, native, atax, calling, timestamp, 1696918815293015
Linux-aarch64, native, atax, starting, timestamp, 1696918815294149
Linux-aarch64, native, atax, main, timestamp, 1696918815295246
Linux-aarch64, native, atax, start, timestamp, 1696918815311651
Linux-aarch64, native, atax, end, timestamp, 1696918815316838
Linux-aarch64, native, atax, accumulated, elapsed time, 5187
Linux-aarch64, native, atax, calling, timestamp, 1696918815324043
Linux-aarch64, native, atax, starting, timestamp, 1696918815325167
Linux-aarch64, native, atax, main, timestamp, 1696918815326304
Linux-aarch64, native, atax, start, timestamp, 1696918815342827
Linux-aarch64, native, atax, end, timestamp, 1696918815348021
Linux-aarch64, native, atax, accumulated, elapsed time, 5194
Linux-aarch64, native, atax, calling, timestamp, 1696918815355340
Linux-aarch64, native, atax, starting, timestamp, 1696918815356464
Linux-aarch64, native, atax, main, timestamp, 1696918815357578
Linux-aarch64, native, atax, start, timestamp, 1696918815374005
Linux-aarch64, native, atax, end, timestamp, 1696918815379212
Linux-aarch64, native, atax, accumulated, elapsed time, 5207
Linux-aarch64, native, atax, calling, timestamp, 1696918815386529
Linux-aarch64, native, atax, starting, timestamp, 1696918815387653
Linux-aarch64, native, atax, main, timestamp, 1696918815388758
Linux-aarch64, native, atax, start, timestamp, 1696918815405191
Linux-aarch64, native, atax, end, timestamp, 1696918815410375
Linux-aarch64, native, atax, accumulated, elapsed time, 5184
Linux-aarch64, native, atax, calling, timestamp, 1696918815417627
Linux-aarch64, native, atax, starting, timestamp, 1696918815418749
Linux-aarch64, native, atax, main, timestamp, 1696918815419876
Linux-aarch64, native, atax, start, timestamp, 1696918815436277
Linux-aarch64, native, atax, end, timestamp, 1696918815441446
Linux-aarch64, native, atax, accumulated, elapsed time, 5169
Linux-aarch64, native, atax, calling, timestamp, 1696918815448664
Linux-aarch64, native, atax, starting, timestamp, 1696918815449801
Linux-aarch64, native, atax, main, timestamp, 1696918815450933
Linux-aarch64, native, atax, start, timestamp, 1696918815467347
Linux-aarch64, native, atax, end, timestamp, 1696918815472540
Linux-aarch64, native, atax, accumulated, elapsed time, 5193
Linux-aarch64, wasmtime, atax, calling, timestamp, 1696918815487899
Linux-aarch64, wasmtime, atax, starting, timestamp, 1696918815490802
Linux-aarch64, wasmtime, atax, main, timestamp, 1696918815530849
Linux-aarch64, wasmtime, atax, start, timestamp, 1696918815549903
Linux-aarch64, wasmtime, atax, end, timestamp, 1696918815558845
Linux-aarch64, wasmtime, atax, accumulated, elapsed time, 8942
Linux-aarch64, wasmtime, atax, calling, timestamp, 1696918815572762
Linux-aarch64, wasmtime, atax, starting, timestamp, 1696918815575715
Linux-aarch64, wasmtime, atax, main, timestamp, 1696918815594885
Linux-aarch64, wasmtime, atax, start, timestamp, 1696918815613855
Linux-aarch64, wasmtime, atax, end, timestamp, 1696918815622754
Linux-aarch64, wasmtime, atax, accumulated, elapsed time, 8899
Linux-aarch64, wasmtime, atax, calling, timestamp, 1696918815636789
Linux-aarch64, wasmtime, atax, starting, timestamp, 1696918815639721
Linux-aarch64, wasmtime, atax, main, timestamp, 1696918815662878
Linux-aarch64, wasmtime, atax, start, timestamp, 1696918815681667
Linux-aarch64, wasmtime, atax, end, timestamp, 1696918815690519
Linux-aarch64, wasmtime, atax, accumulated, elapsed time, 8852
Linux-aarch64, wasmtime, atax, calling, timestamp, 1696918815704489
Linux-aarch64, wasmtime, atax, starting, timestamp, 1696918815707436
Linux-aarch64, wasmtime, atax, main, timestamp, 1696918815730857
Linux-aarch64, wasmtime, atax, start, timestamp, 1696918815749933
Linux-aarch64, wasmtime, atax, end, timestamp, 1696918815758853
Linux-aarch64, wasmtime, atax, accumulated, elapsed time, 8920
Linux-aarch64, wasmtime, atax, calling, timestamp, 1696918815772921
Linux-aarch64, wasmtime, atax, starting, timestamp, 1696918815775830
Linux-aarch64, wasmtime, atax, main, timestamp, 1696918815790877
Linux-aarch64, wasmtime, atax, start, timestamp, 1696918815809650
Linux-aarch64, wasmtime, atax, end, timestamp, 1696918815818496
Linux-aarch64, wasmtime, atax, accumulated, elapsed time, 8846
Linux-aarch64, wasmtime, atax, calling, timestamp, 1696918815832453
Linux-aarch64, wasmtime, atax, starting, timestamp, 1696918815835392
Linux-aarch64, wasmtime, atax, main, timestamp, 1696918815866872
Linux-aarch64, wasmtime, atax, start, timestamp, 1696918815885761
Linux-aarch64, wasmtime, atax, end, timestamp, 1696918815894658
Linux-aarch64, wasmtime, atax, accumulated, elapsed time, 8897
Linux-aarch64, wasmtime, atax, calling, timestamp, 1696918815909647
Linux-aarch64, wasmtime, atax, starting, timestamp, 1696918815912534
Linux-aarch64, wasmtime, atax, main, timestamp, 1696918815930862
Linux-aarch64, wasmtime, atax, start, timestamp, 1696918815949768
Linux-aarch64, wasmtime, atax, end, timestamp, 1696918815958720
Linux-aarch64, wasmtime, atax, accumulated, elapsed time, 8952
Linux-aarch64, wasmtime, atax, calling, timestamp, 1696918815972527
Linux-aarch64, wasmtime, atax, starting, timestamp, 1696918815975438
Linux-aarch64, wasmtime, atax, main, timestamp, 1696918816022847
Linux-aarch64, wasmtime, atax, start, timestamp, 1696918816041580
Linux-aarch64, wasmtime, atax, end, timestamp, 1696918816050458
Linux-aarch64, wasmtime, atax, accumulated, elapsed time, 8878
Linux-aarch64, wasmtime, atax, calling, timestamp, 1696918816063866
Linux-aarch64, wasmtime, atax, starting, timestamp, 1696918816066757
Linux-aarch64, wasmtime, atax, main, timestamp, 1696918816082862
Linux-aarch64, wasmtime, atax, start, timestamp, 1696918816101659
Linux-aarch64, wasmtime, atax, end, timestamp, 1696918816110549
Linux-aarch64, wasmtime, atax, accumulated, elapsed time, 8890
Linux-aarch64, wasmtime, atax, calling, timestamp, 1696918816124319
Linux-aarch64, wasmtime, atax, starting, timestamp, 1696918816127205
Linux-aarch64, wasmtime, atax, main, timestamp, 1696918816154846
Linux-aarch64, wasmtime, atax, start, timestamp, 1696918816173447
Linux-aarch64, wasmtime, atax, end, timestamp, 1696918816182321
Linux-aarch64, wasmtime, atax, accumulated, elapsed time, 8874
Linux-aarch64, wasmtime, atax, calling, timestamp, 1696918816195941
Linux-aarch64, wasmtime, atax, starting, timestamp, 1696918816198808
Linux-aarch64, wasmtime, atax, main, timestamp, 1696918816226849
Linux-aarch64, wasmtime, atax, start, timestamp, 1696918816245403
Linux-aarch64, wasmtime, atax, end, timestamp, 1696918816254286
Linux-aarch64, wasmtime, atax, accumulated, elapsed time, 8883
Linux-aarch64, wasmtime, atax, calling, timestamp, 1696918816268053
Linux-aarch64, wasmtime, atax, starting, timestamp, 1696918816270911
Linux-aarch64, wasmtime, atax, main, timestamp, 1696918816290839
Linux-aarch64, wasmtime, atax, start, timestamp, 1696918816309432
Linux-aarch64, wasmtime, atax, end, timestamp, 1696918816318314
Linux-aarch64, wasmtime, atax, accumulated, elapsed time, 8882
Linux-aarch64, wasmtime, atax, calling, timestamp, 1696918816331622
Linux-aarch64, wasmtime, atax, starting, timestamp, 1696918816334498
Linux-aarch64, wasmtime, atax, main, timestamp, 1696918816366857
Linux-aarch64, wasmtime, atax, start, timestamp, 1696918816385557
Linux-aarch64, wasmtime, atax, end, timestamp, 1696918816394420
Linux-aarch64, wasmtime, atax, accumulated, elapsed time, 8863
Linux-aarch64, wasmtime, atax, calling, timestamp, 1696918816408088
Linux-aarch64, wasmtime, atax, starting, timestamp, 1696918816410966
Linux-aarch64, wasmtime, atax, main, timestamp, 1696918816434835
Linux-aarch64, wasmtime, atax, start, timestamp, 1696918816453323
Linux-aarch64, wasmtime, atax, end, timestamp, 1696918816462204
Linux-aarch64, wasmtime, atax, accumulated, elapsed time, 8881
Linux-aarch64, wasmtime, atax, calling, timestamp, 1696918816475782
Linux-aarch64, wasmtime, atax, starting, timestamp, 1696918816478668
Linux-aarch64, wasmtime, atax, main, timestamp, 1696918816498850
Linux-aarch64, wasmtime, atax, start, timestamp, 1696918816517320
Linux-aarch64, wasmtime, atax, end, timestamp, 1696918816526180
Linux-aarch64, wasmtime, atax, accumulated, elapsed time, 8860
Linux-aarch64, iwasm, atax, calling, timestamp, 1696918816547503
WABENCH, iwasm, atax, starting, timestamp, 1696918816548812
Linux-aarch64, iwasm, atax, main, timestamp, 1696918816554465
Linux-aarch64, iwasm, atax, start, timestamp, 1696918816643952
Linux-aarch64, iwasm, atax, end, timestamp, 1696918816822100
Linux-aarch64, iwasm, atax, accumulated, elapsed time, 178148
Linux-aarch64, iwasm, atax, calling, timestamp, 1696918816838461
WABENCH, iwasm, atax, starting, timestamp, 1696918816839757
Linux-aarch64, iwasm, atax, main, timestamp, 1696918816845576
Linux-aarch64, iwasm, atax, start, timestamp, 1696918816935047
Linux-aarch64, iwasm, atax, end, timestamp, 1696918817112279
Linux-aarch64, iwasm, atax, accumulated, elapsed time, 177232
Linux-aarch64, iwasm, atax, calling, timestamp, 1696918817128535
WABENCH, iwasm, atax, starting, timestamp, 1696918817129829
Linux-aarch64, iwasm, atax, main, timestamp, 1696918817135642
Linux-aarch64, iwasm, atax, start, timestamp, 1696918817224974
Linux-aarch64, iwasm, atax, end, timestamp, 1696918817402802
Linux-aarch64, iwasm, atax, accumulated, elapsed time, 177828
Linux-aarch64, iwasm, atax, calling, timestamp, 1696918817418965
WABENCH, iwasm, atax, starting, timestamp, 1696918817420272
Linux-aarch64, iwasm, atax, main, timestamp, 1696918817426032
Linux-aarch64, iwasm, atax, start, timestamp, 1696918817515271
Linux-aarch64, iwasm, atax, end, timestamp, 1696918817692837
Linux-aarch64, iwasm, atax, accumulated, elapsed time, 177566
Linux-aarch64, iwasm, atax, calling, timestamp, 1696918817709066
WABENCH, iwasm, atax, starting, timestamp, 1696918817710446
Linux-aarch64, iwasm, atax, main, timestamp, 1696918817716260
Linux-aarch64, iwasm, atax, start, timestamp, 1696918817805760
Linux-aarch64, iwasm, atax, end, timestamp, 1696918817982574
Linux-aarch64, iwasm, atax, accumulated, elapsed time, 176814
Linux-aarch64, iwasm, atax, calling, timestamp, 1696918817998896
WABENCH, iwasm, atax, starting, timestamp, 1696918818000222
Linux-aarch64, iwasm, atax, main, timestamp, 1696918818006075
Linux-aarch64, iwasm, atax, start, timestamp, 1696918818095279
Linux-aarch64, iwasm, atax, end, timestamp, 1696918818272636
Linux-aarch64, iwasm, atax, accumulated, elapsed time, 177357
Linux-aarch64, iwasm, atax, calling, timestamp, 1696918818288875
WABENCH, iwasm, atax, starting, timestamp, 1696918818290177
Linux-aarch64, iwasm, atax, main, timestamp, 1696918818295971
Linux-aarch64, iwasm, atax, start, timestamp, 1696918818385117
Linux-aarch64, iwasm, atax, end, timestamp, 1696918818562223
Linux-aarch64, iwasm, atax, accumulated, elapsed time, 177106
Linux-aarch64, iwasm, atax, calling, timestamp, 1696918818578483
WABENCH, iwasm, atax, starting, timestamp, 1696918818579795
Linux-aarch64, iwasm, atax, main, timestamp, 1696918818585503
Linux-aarch64, iwasm, atax, start, timestamp, 1696918818674933
Linux-aarch64, iwasm, atax, end, timestamp, 1696918818852162
Linux-aarch64, iwasm, atax, accumulated, elapsed time, 177229
Linux-aarch64, iwasm, atax, calling, timestamp, 1696918818868476
WABENCH, iwasm, atax, starting, timestamp, 1696918818869775
Linux-aarch64, iwasm, atax, main, timestamp, 1696918818875552
Linux-aarch64, iwasm, atax, start, timestamp, 1696918818964591
Linux-aarch64, iwasm, atax, end, timestamp, 1696918819141708
Linux-aarch64, iwasm, atax, accumulated, elapsed time, 177117
Linux-aarch64, iwasm, atax, calling, timestamp, 1696918819158060
WABENCH, iwasm, atax, starting, timestamp, 1696918819159390
Linux-aarch64, iwasm, atax, main, timestamp, 1696918819165188
Linux-aarch64, iwasm, atax, start, timestamp, 1696918819254446
Linux-aarch64, iwasm, atax, end, timestamp, 1696918819431406
Linux-aarch64, iwasm, atax, accumulated, elapsed time, 176960
Linux-aarch64, iwasm, atax, calling, timestamp, 1696918819447698
WABENCH, iwasm, atax, starting, timestamp, 1696918819448991
Linux-aarch64, iwasm, atax, main, timestamp, 1696918819454793
Linux-aarch64, iwasm, atax, start, timestamp, 1696918819544107
Linux-aarch64, iwasm, atax, end, timestamp, 1696918819721697
Linux-aarch64, iwasm, atax, accumulated, elapsed time, 177590
Linux-aarch64, iwasm, atax, calling, timestamp, 1696918819737949
WABENCH, iwasm, atax, starting, timestamp, 1696918819739280
Linux-aarch64, iwasm, atax, main, timestamp, 1696918819744981
Linux-aarch64, iwasm, atax, start, timestamp, 1696918819833859
Linux-aarch64, iwasm, atax, end, timestamp, 1696918820011022
Linux-aarch64, iwasm, atax, accumulated, elapsed time, 177163
Linux-aarch64, iwasm, atax, calling, timestamp, 1696918820027192
WABENCH, iwasm, atax, starting, timestamp, 1696918820028501
Linux-aarch64, iwasm, atax, main, timestamp, 1696918820034301
Linux-aarch64, iwasm, atax, start, timestamp, 1696918820123139
Linux-aarch64, iwasm, atax, end, timestamp, 1696918820300273
Linux-aarch64, iwasm, atax, accumulated, elapsed time, 177134
Linux-aarch64, iwasm, atax, calling, timestamp, 1696918820316594
WABENCH, iwasm, atax, starting, timestamp, 1696918820317905
Linux-aarch64, iwasm, atax, main, timestamp, 1696918820323677
Linux-aarch64, iwasm, atax, start, timestamp, 1696918820413162
Linux-aarch64, iwasm, atax, end, timestamp, 1696918820590245
Linux-aarch64, iwasm, atax, accumulated, elapsed time, 177083
Linux-aarch64, iwasm, atax, calling, timestamp, 1696918820606435
WABENCH, iwasm, atax, starting, timestamp, 1696918820607727
Linux-aarch64, iwasm, atax, main, timestamp, 1696918820613507
Linux-aarch64, iwasm, atax, start, timestamp, 1696918820703041
Linux-aarch64, iwasm, atax, end, timestamp, 1696918820880042
Linux-aarch64, iwasm, atax, accumulated, elapsed time, 177001
Linux-aarch64, native, mvt, calling, timestamp, 1696918885329109
Linux-aarch64, native, mvt, starting, timestamp, 1696918885330304
Linux-aarch64, native, mvt, main, timestamp, 1696918885331507
Linux-aarch64, native, mvt, start, timestamp, 1696918885347873
Linux-aarch64, native, mvt, end, timestamp, 1696918885365727
Linux-aarch64, native, mvt, accumulated, elapsed time, 17854
Linux-aarch64, native, mvt, calling, timestamp, 1696918885376512
Linux-aarch64, native, mvt, starting, timestamp, 1696918885377639
Linux-aarch64, native, mvt, main, timestamp, 1696918885378806
Linux-aarch64, native, mvt, start, timestamp, 1696918885394818
Linux-aarch64, native, mvt, end, timestamp, 1696918885412353
Linux-aarch64, native, mvt, accumulated, elapsed time, 17535
Linux-aarch64, native, mvt, calling, timestamp, 1696918885423116
Linux-aarch64, native, mvt, starting, timestamp, 1696918885424244
Linux-aarch64, native, mvt, main, timestamp, 1696918885425354
Linux-aarch64, native, mvt, start, timestamp, 1696918885441217
Linux-aarch64, native, mvt, end, timestamp, 1696918885458565
Linux-aarch64, native, mvt, accumulated, elapsed time, 17348
Linux-aarch64, native, mvt, calling, timestamp, 1696918885469301
Linux-aarch64, native, mvt, starting, timestamp, 1696918885470474
Linux-aarch64, native, mvt, main, timestamp, 1696918885471643
Linux-aarch64, native, mvt, start, timestamp, 1696918885487570
Linux-aarch64, native, mvt, end, timestamp, 1696918885504835
Linux-aarch64, native, mvt, accumulated, elapsed time, 17265
Linux-aarch64, native, mvt, calling, timestamp, 1696918885515542
Linux-aarch64, native, mvt, starting, timestamp, 1696918885516667
Linux-aarch64, native, mvt, main, timestamp, 1696918885517789
Linux-aarch64, native, mvt, start, timestamp, 1696918885533865
Linux-aarch64, native, mvt, end, timestamp, 1696918885551347
Linux-aarch64, native, mvt, accumulated, elapsed time, 17482
Linux-aarch64, native, mvt, calling, timestamp, 1696918885562202
Linux-aarch64, native, mvt, starting, timestamp, 1696918885563352
Linux-aarch64, native, mvt, main, timestamp, 1696918885564497
Linux-aarch64, native, mvt, start, timestamp, 1696918885580422
Linux-aarch64, native, mvt, end, timestamp, 1696918885597786
Linux-aarch64, native, mvt, accumulated, elapsed time, 17364
Linux-aarch64, native, mvt, calling, timestamp, 1696918885608524
Linux-aarch64, native, mvt, starting, timestamp, 1696918885609649
Linux-aarch64, native, mvt, main, timestamp, 1696918885610778
Linux-aarch64, native, mvt, start, timestamp, 1696918885626733
Linux-aarch64, native, mvt, end, timestamp, 1696918885644067
Linux-aarch64, native, mvt, accumulated, elapsed time, 17334
Linux-aarch64, native, mvt, calling, timestamp, 1696918885654828
Linux-aarch64, native, mvt, starting, timestamp, 1696918885655948
Linux-aarch64, native, mvt, main, timestamp, 1696918885657069
Linux-aarch64, native, mvt, start, timestamp, 1696918885673134
Linux-aarch64, native, mvt, end, timestamp, 1696918885690700
Linux-aarch64, native, mvt, accumulated, elapsed time, 17566
Linux-aarch64, native, mvt, calling, timestamp, 1696918885701441
Linux-aarch64, native, mvt, starting, timestamp, 1696918885702571
Linux-aarch64, native, mvt, main, timestamp, 1696918885703702
Linux-aarch64, native, mvt, start, timestamp, 1696918885719671
Linux-aarch64, native, mvt, end, timestamp, 1696918885737136
Linux-aarch64, native, mvt, accumulated, elapsed time, 17465
Linux-aarch64, native, mvt, calling, timestamp, 1696918885747842
Linux-aarch64, native, mvt, starting, timestamp, 1696918885748954
Linux-aarch64, native, mvt, main, timestamp, 1696918885750130
Linux-aarch64, native, mvt, start, timestamp, 1696918885766056
Linux-aarch64, native, mvt, end, timestamp, 1696918885783464
Linux-aarch64, native, mvt, accumulated, elapsed time, 17408
Linux-aarch64, native, mvt, calling, timestamp, 1696918885794141
Linux-aarch64, native, mvt, starting, timestamp, 1696918885795266
Linux-aarch64, native, mvt, main, timestamp, 1696918885796360
Linux-aarch64, native, mvt, start, timestamp, 1696918885812178
Linux-aarch64, native, mvt, end, timestamp, 1696918885829480
Linux-aarch64, native, mvt, accumulated, elapsed time, 17302
Linux-aarch64, native, mvt, calling, timestamp, 1696918885840146
Linux-aarch64, native, mvt, starting, timestamp, 1696918885841259
Linux-aarch64, native, mvt, main, timestamp, 1696918885842432
Linux-aarch64, native, mvt, start, timestamp, 1696918885858409
Linux-aarch64, native, mvt, end, timestamp, 1696918885875771
Linux-aarch64, native, mvt, accumulated, elapsed time, 17362
Linux-aarch64, native, mvt, calling, timestamp, 1696918885886507
Linux-aarch64, native, mvt, starting, timestamp, 1696918885887627
Linux-aarch64, native, mvt, main, timestamp, 1696918885888790
Linux-aarch64, native, mvt, start, timestamp, 1696918885904712
Linux-aarch64, native, mvt, end, timestamp, 1696918885920565
Linux-aarch64, native, mvt, accumulated, elapsed time, 15853
Linux-aarch64, native, mvt, calling, timestamp, 1696918885931315
Linux-aarch64, native, mvt, starting, timestamp, 1696918885932431
Linux-aarch64, native, mvt, main, timestamp, 1696918885933558
Linux-aarch64, native, mvt, start, timestamp, 1696918885949395
Linux-aarch64, native, mvt, end, timestamp, 1696918885966660
Linux-aarch64, native, mvt, accumulated, elapsed time, 17265
Linux-aarch64, native, mvt, calling, timestamp, 1696918885977367
Linux-aarch64, native, mvt, starting, timestamp, 1696918885978529
Linux-aarch64, native, mvt, main, timestamp, 1696918885979687
Linux-aarch64, native, mvt, start, timestamp, 1696918885995591
Linux-aarch64, native, mvt, end, timestamp, 1696918886012977
Linux-aarch64, native, mvt, accumulated, elapsed time, 17386
Linux-aarch64, wasmtime, mvt, calling, timestamp, 1696918886031992
Linux-aarch64, wasmtime, mvt, starting, timestamp, 1696918886034882
Linux-aarch64, wasmtime, mvt, main, timestamp, 1696918886070877
Linux-aarch64, wasmtime, mvt, start, timestamp, 1696918886091745
Linux-aarch64, wasmtime, mvt, end, timestamp, 1696918886113635
Linux-aarch64, wasmtime, mvt, accumulated, elapsed time, 21890
Linux-aarch64, wasmtime, mvt, calling, timestamp, 1696918886136516
Linux-aarch64, wasmtime, mvt, starting, timestamp, 1696918886139425
Linux-aarch64, wasmtime, mvt, main, timestamp, 1696918886154876
Linux-aarch64, wasmtime, mvt, start, timestamp, 1696918886175461
Linux-aarch64, wasmtime, mvt, end, timestamp, 1696918886197440
Linux-aarch64, wasmtime, mvt, accumulated, elapsed time, 21979
Linux-aarch64, wasmtime, mvt, calling, timestamp, 1696918886216419
Linux-aarch64, wasmtime, mvt, starting, timestamp, 1696918886219367
Linux-aarch64, wasmtime, mvt, main, timestamp, 1696918886242894
Linux-aarch64, wasmtime, mvt, start, timestamp, 1696918886263639
Linux-aarch64, wasmtime, mvt, end, timestamp, 1696918886285653
Linux-aarch64, wasmtime, mvt, accumulated, elapsed time, 22014
Linux-aarch64, wasmtime, mvt, calling, timestamp, 1696918886308695
Linux-aarch64, wasmtime, mvt, starting, timestamp, 1696918886311595
Linux-aarch64, wasmtime, mvt, main, timestamp, 1696918886334862
Linux-aarch64, wasmtime, mvt, start, timestamp, 1696918886355383
Linux-aarch64, wasmtime, mvt, end, timestamp, 1696918886377464
Linux-aarch64, wasmtime, mvt, accumulated, elapsed time, 22081
Linux-aarch64, wasmtime, mvt, calling, timestamp, 1696918886400082
