Linux-aarch64-AWS, native, floyd-warshall, calling, timestamp, 1696846258192081
Linux-aarch64-AWS, iwasm, nussinov, main, timestamp, 1696847104333476
Linux-aarch64-AWS, iwasm, nussinov, start, timestamp, 1696847104337031
Linux-aarch64-AWS, iwasm, nussinov, end, timestamp, 1696847174962674
Linux-aarch64-AWS, iwasm, nussinov, accumulated, elapsed time, 70625643
Linux-aarch64-AWS, native, atax, calling, timestamp, 1696844966061332
Linux-aarch64-AWS, native, atax, starting, timestamp, 1696844966062505
Linux-aarch64-AWS, native, atax, main, timestamp, 1696844966063670
Linux-aarch64-AWS, native, atax, start, timestamp, 1696844966080195
Linux-aarch64-AWS, native, atax, end, timestamp, 1696844966085513
Linux-aarch64-AWS, native, atax, accumulated, elapsed time, 5318
Linux-aarch64-AWS, wasmtime, atax, calling, timestamp, 1696844966101010
Linux-aarch64-AWS, wasmtime, atax, starting, timestamp, 1696844966103958
Linux-aarch64-AWS, wasmtime, atax, main, timestamp, 1696844966163912
Linux-aarch64-AWS, wasmtime, atax, start, timestamp, 1696844966182732
Linux-aarch64-AWS, wasmtime, atax, end, timestamp, 1696844966191766
Linux-aarch64-AWS, wasmtime, atax, accumulated, elapsed time, 9034
Linux-aarch64-AWS, iwasm, atax, calling, timestamp, 1696844966216730
Linux-aarch64-AWS, iwasm, atax, starting, timestamp, 1696844966218115
Linux-aarch64-AWS, iwasm, atax, main, timestamp, 1696844966223855
Linux-aarch64-AWS, iwasm, atax, start, timestamp, 1696844966313591
Linux-aarch64-AWS, iwasm, atax, end, timestamp, 1696844966496673
Linux-aarch64-AWS, iwasm, atax, accumulated, elapsed time, 183082
Linux-aarch64-AWS, native, mvt, calling, timestamp, 1696845029047251
Linux-aarch64-AWS, native, mvt, starting, timestamp, 1696845029048431
Linux-aarch64-AWS, native, mvt, main, timestamp, 1696845029049623
Linux-aarch64-AWS, native, mvt, start, timestamp, 1696845029065919
Linux-aarch64-AWS, native, mvt, end, timestamp, 1696845029083899
Linux-aarch64-AWS, native, mvt, accumulated, elapsed time, 17980
Linux-aarch64-AWS, wasmtime, mvt, calling, timestamp, 1696845029102904
Linux-aarch64-AWS, wasmtime, mvt, starting, timestamp, 1696845029105856
Linux-aarch64-AWS, wasmtime, mvt, main, timestamp, 1696845029159676
Linux-aarch64-AWS, wasmtime, mvt, start, timestamp, 1696845029180414
Linux-aarch64-AWS, wasmtime, mvt, end, timestamp, 1696845029202747
Linux-aarch64-AWS, wasmtime, mvt, accumulated, elapsed time, 22333
Linux-aarch64-AWS, iwasm, mvt, calling, timestamp, 1696845029236229
Linux-aarch64-AWS, iwasm, mvt, starting, timestamp, 1696845029237608
Linux-aarch64-AWS, iwasm, mvt, main, timestamp, 1696845029243521
Linux-aarch64-AWS, iwasm, mvt, start, timestamp, 1696845029333960
Linux-aarch64-AWS, iwasm, mvt, end, timestamp, 1696845029522775
Linux-aarch64-AWS, iwasm, mvt, accumulated, elapsed time, 188815
Linux-aarch64-AWS, native, 2mm, calling, timestamp, 1696844809678404
Linux-aarch64-AWS, native, 2mm, starting, timestamp, 1696844809679587
Linux-aarch64-AWS, native, 2mm, main, timestamp, 1696844809680787
Linux-aarch64-AWS, native, 2mm, start, timestamp, 1696844809696725
Linux-aarch64-AWS, native, 2mm, end, timestamp, 1696844812733855
Linux-aarch64-AWS, native, 2mm, accumulated, elapsed time, 3037130
Linux-aarch64-AWS, wasmtime, 2mm, calling, timestamp, 1696844814611029
Linux-aarch64-AWS, wasmtime, 2mm, starting, timestamp, 1696844814613962
Linux-aarch64-AWS, wasmtime, 2mm, main, timestamp, 1696844814671894
Linux-aarch64-AWS, wasmtime, 2mm, start, timestamp, 1696844814691661
Linux-aarch64-AWS, wasmtime, 2mm, end, timestamp, 1696844818627066
Linux-aarch64-AWS, wasmtime, 2mm, accumulated, elapsed time, 3935405
Linux-aarch64-AWS, iwasm, 2mm, calling, timestamp, 1696844822647741
Linux-aarch64-AWS, iwasm, 2mm, starting, timestamp, 1696844822649128
Linux-aarch64-AWS, iwasm, 2mm, main, timestamp, 1696844822654977
Linux-aarch64-AWS, iwasm, 2mm, start, timestamp, 1696844822749505
Linux-aarch64-AWS, iwasm, 2mm, end, timestamp, 1696844868193049
Linux-aarch64-AWS, iwasm, 2mm, accumulated, elapsed time, 45443544
Linux-aarch64-AWS, native, bicg, calling, timestamp, 1696844966885690
Linux-aarch64-AWS, native, bicg, starting, timestamp, 1696844966886883
Linux-aarch64-AWS, native, bicg, main, timestamp, 1696844966888084
Linux-aarch64-AWS, native, bicg, start, timestamp, 1696844966904355
Linux-aarch64-AWS, native, bicg, end, timestamp, 1696844966920944
Linux-aarch64-AWS, native, bicg, accumulated, elapsed time, 16589
Linux-aarch64-AWS, native, bicg, calling, timestamp, 1696844966931722
Linux-aarch64-AWS, native, bicg, starting, timestamp, 1696844966932880
Linux-aarch64-AWS, native, bicg, main, timestamp, 1696844966934030
Linux-aarch64-AWS, native, bicg, start, timestamp, 1696844966949985
Linux-aarch64-AWS, native, bicg, end, timestamp, 1696844966966369
Linux-aarch64-AWS, native, bicg, accumulated, elapsed time, 16384
Linux-aarch64-AWS, native, bicg, calling, timestamp, 1696844966977002
Linux-aarch64-AWS, native, bicg, starting, timestamp, 1696844966978163
Linux-aarch64-AWS, native, bicg, main, timestamp, 1696844966979311
Linux-aarch64-AWS, native, bicg, start, timestamp, 1696844966995281
Linux-aarch64-AWS, native, bicg, end, timestamp, 1696844967011640
Linux-aarch64-AWS, native, bicg, accumulated, elapsed time, 16359
Linux-aarch64-AWS, native, bicg, calling, timestamp, 1696844967022252
Linux-aarch64-AWS, native, bicg, starting, timestamp, 1696844967023401
Linux-aarch64-AWS, native, bicg, main, timestamp, 1696844967024558
Linux-aarch64-AWS, native, bicg, start, timestamp, 1696844967040415
Linux-aarch64-AWS, native, bicg, end, timestamp, 1696844967056672
Linux-aarch64-AWS, native, bicg, accumulated, elapsed time, 16257
Linux-aarch64-AWS, native, bicg, calling, timestamp, 1696844967067235
Linux-aarch64-AWS, native, bicg, starting, timestamp, 1696844967068384
Linux-aarch64-AWS, native, bicg, main, timestamp, 1696844967069532
Linux-aarch64-AWS, native, bicg, start, timestamp, 1696844967085337
Linux-aarch64-AWS, native, bicg, end, timestamp, 1696844967101569
Linux-aarch64-AWS, native, bicg, accumulated, elapsed time, 16232
Linux-aarch64-AWS, native, bicg, calling, timestamp, 1696844967112127
Linux-aarch64-AWS, native, bicg, starting, timestamp, 1696844967113272
Linux-aarch64-AWS, native, bicg, main, timestamp, 1696844967114441
Linux-aarch64-AWS, native, bicg, start, timestamp, 1696844967130297
Linux-aarch64-AWS, native, bicg, end, timestamp, 1696844967146513
Linux-aarch64-AWS, native, bicg, accumulated, elapsed time, 16216
Linux-aarch64-AWS, native, bicg, calling, timestamp, 1696844967157130
Linux-aarch64-AWS, native, bicg, starting, timestamp, 1696844967158286
Linux-aarch64-AWS, native, bicg, main, timestamp, 1696844967159424
Linux-aarch64-AWS, native, bicg, start, timestamp, 1696844967175205
Linux-aarch64-AWS, native, bicg, end, timestamp, 1696844967191442
Linux-aarch64-AWS, native, bicg, accumulated, elapsed time, 16237
Linux-aarch64-AWS, native, bicg, calling, timestamp, 1696844967201978
Linux-aarch64-AWS, native, bicg, starting, timestamp, 1696844967203126
Linux-aarch64-AWS, native, bicg, main, timestamp, 1696844967204281
Linux-aarch64-AWS, native, bicg, start, timestamp, 1696844967220146
Linux-aarch64-AWS, native, bicg, end, timestamp, 1696844967236392
Linux-aarch64-AWS, native, bicg, accumulated, elapsed time, 16246
Linux-aarch64-AWS, native, bicg, calling, timestamp, 1696844967246997
Linux-aarch64-AWS, native, bicg, starting, timestamp, 1696844967248145
Linux-aarch64-AWS, native, bicg, main, timestamp, 1696844967249312
Linux-aarch64-AWS, native, bicg, start, timestamp, 1696844967265072
Linux-aarch64-AWS, native, bicg, end, timestamp, 1696844967281299
Linux-aarch64-AWS, native, bicg, accumulated, elapsed time, 16227
Linux-aarch64-AWS, native, bicg, calling, timestamp, 1696844967291863
Linux-aarch64-AWS, native, bicg, starting, timestamp, 1696844967293020
Linux-aarch64-AWS, native, bicg, main, timestamp, 1696844967294178
Linux-aarch64-AWS, native, bicg, start, timestamp, 1696844967309947
Linux-aarch64-AWS, native, bicg, end, timestamp, 1696844967326128
Linux-aarch64-AWS, native, bicg, accumulated, elapsed time, 16181
Linux-aarch64-AWS, wasmtime, bicg, calling, timestamp, 1696844967344894
Linux-aarch64-AWS, wasmtime, bicg, starting, timestamp, 1696844967347868
Linux-aarch64-AWS, wasmtime, bicg, main, timestamp, 1696844967399709
Linux-aarch64-AWS, wasmtime, bicg, start, timestamp, 1696844967420096
Linux-aarch64-AWS, wasmtime, bicg, end, timestamp, 1696844967433283
Linux-aarch64-AWS, wasmtime, bicg, accumulated, elapsed time, 13187
Linux-aarch64-AWS, wasmtime, bicg, calling, timestamp, 1696844967466694
Linux-aarch64-AWS, wasmtime, bicg, starting, timestamp, 1696844967469672
Linux-aarch64-AWS, wasmtime, bicg, main, timestamp, 1696844967505787
Linux-aarch64-AWS, wasmtime, bicg, start, timestamp, 1696844967526340
Linux-aarch64-AWS, wasmtime, bicg, end, timestamp, 1696844967539354
Linux-aarch64-AWS, wasmtime, bicg, accumulated, elapsed time, 13014
Linux-aarch64-AWS, wasmtime, bicg, calling, timestamp, 1696844967569528
Linux-aarch64-AWS, wasmtime, bicg, starting, timestamp, 1696844967572479
Linux-aarch64-AWS, wasmtime, bicg, main, timestamp, 1696844967589791
Linux-aarch64-AWS, wasmtime, bicg, start, timestamp, 1696844967610184
Linux-aarch64-AWS, wasmtime, bicg, end, timestamp, 1696844967623279
Linux-aarch64-AWS, wasmtime, bicg, accumulated, elapsed time, 13095
Linux-aarch64-AWS, wasmtime, bicg, calling, timestamp, 1696844967645752
Linux-aarch64-AWS, wasmtime, bicg, starting, timestamp, 1696844967648654
Linux-aarch64-AWS, wasmtime, bicg, main, timestamp, 1696844967673784
Linux-aarch64-AWS, wasmtime, bicg, start, timestamp, 1696844967694133
Linux-aarch64-AWS, wasmtime, bicg, end, timestamp, 1696844967707235
Linux-aarch64-AWS, wasmtime, bicg, accumulated, elapsed time, 13102
Linux-aarch64-AWS, wasmtime, bicg, calling, timestamp, 1696844967738434
Linux-aarch64-AWS, wasmtime, bicg, starting, timestamp, 1696844967741394
Linux-aarch64-AWS, wasmtime, bicg, main, timestamp, 1696844967769796
Linux-aarch64-AWS, wasmtime, bicg, start, timestamp, 1696844967790207
Linux-aarch64-AWS, wasmtime, bicg, end, timestamp, 1696844967803363
Linux-aarch64-AWS, wasmtime, bicg, accumulated, elapsed time, 13156
Linux-aarch64-AWS, wasmtime, bicg, calling, timestamp, 1696844967830113
Linux-aarch64-AWS, wasmtime, bicg, starting, timestamp, 1696844967832980
Linux-aarch64-AWS, wasmtime, bicg, main, timestamp, 1696844967865761
Linux-aarch64-AWS, wasmtime, bicg, start, timestamp, 1696844967886139
Linux-aarch64-AWS, wasmtime, bicg, end, timestamp, 1696844967899291
Linux-aarch64-AWS, wasmtime, bicg, accumulated, elapsed time, 13152
Linux-aarch64-AWS, wasmtime, bicg, calling, timestamp, 1696844967930180
Linux-aarch64-AWS, wasmtime, bicg, starting, timestamp, 1696844967933058
Linux-aarch64-AWS, wasmtime, bicg, main, timestamp, 1696844967957788
Linux-aarch64-AWS, wasmtime, bicg, start, timestamp, 1696844967978263
Linux-aarch64-AWS, wasmtime, bicg, end, timestamp, 1696844967991413
Linux-aarch64-AWS, wasmtime, bicg, accumulated, elapsed time, 13150
Linux-aarch64-AWS, wasmtime, bicg, calling, timestamp, 1696844968021165
Linux-aarch64-AWS, wasmtime, bicg, starting, timestamp, 1696844968024018
Linux-aarch64-AWS, wasmtime, bicg, main, timestamp, 1696844968061776
Linux-aarch64-AWS, wasmtime, bicg, start, timestamp, 1696844968082239
Linux-aarch64-AWS, wasmtime, bicg, end, timestamp, 1696844968095447
Linux-aarch64-AWS, wasmtime, bicg, accumulated, elapsed time, 13208
Linux-aarch64-AWS, wasmtime, bicg, calling, timestamp, 1696844968126472
Linux-aarch64-AWS, wasmtime, bicg, starting, timestamp, 1696844968129335
Linux-aarch64-AWS, wasmtime, bicg, main, timestamp, 1696844968157760
Linux-aarch64-AWS, wasmtime, bicg, start, timestamp, 1696844968178259
Linux-aarch64-AWS, wasmtime, bicg, end, timestamp, 1696844968191403
Linux-aarch64-AWS, wasmtime, bicg, accumulated, elapsed time, 13144
Linux-aarch64-AWS, wasmtime, bicg, calling, timestamp, 1696844968213888
Linux-aarch64-AWS, wasmtime, bicg, starting, timestamp, 1696844968216719
Linux-aarch64-AWS, wasmtime, bicg, main, timestamp, 1696844968249766
Linux-aarch64-AWS, wasmtime, bicg, start, timestamp, 1696844968270215
Linux-aarch64-AWS, wasmtime, bicg, end, timestamp, 1696844968283485
Linux-aarch64-AWS, wasmtime, bicg, accumulated, elapsed time, 13270
Linux-aarch64-AWS, iwasm, bicg, calling, timestamp, 1696844968321798
Linux-aarch64-AWS, iwasm, bicg, starting, timestamp, 1696844968323151
Linux-aarch64-AWS, iwasm, bicg, main, timestamp, 1696844968328864
Linux-aarch64-AWS, iwasm, bicg, start, timestamp, 1696844968417993
Linux-aarch64-AWS, iwasm, bicg, end, timestamp, 1696844968590170
Linux-aarch64-AWS, iwasm, bicg, accumulated, elapsed time, 172177
Linux-aarch64-AWS, iwasm, bicg, calling, timestamp, 1696844968619256
Linux-aarch64-AWS, iwasm, bicg, starting, timestamp, 1696844968620606
Linux-aarch64-AWS, iwasm, bicg, main, timestamp, 1696844968626394
Linux-aarch64-AWS, iwasm, bicg, start, timestamp, 1696844968715567
Linux-aarch64-AWS, iwasm, bicg, end, timestamp, 1696844968887553
Linux-aarch64-AWS, iwasm, bicg, accumulated, elapsed time, 171986
Linux-aarch64-AWS, iwasm, bicg, calling, timestamp, 1696844968916582
Linux-aarch64-AWS, iwasm, bicg, starting, timestamp, 1696844968917906
Linux-aarch64-AWS, iwasm, bicg, main, timestamp, 1696844968923648
Linux-aarch64-AWS, iwasm, bicg, start, timestamp, 1696844969012851
Linux-aarch64-AWS, iwasm, bicg, end, timestamp, 1696844969184802
Linux-aarch64-AWS, iwasm, bicg, accumulated, elapsed time, 171951
Linux-aarch64-AWS, iwasm, bicg, calling, timestamp, 1696844969213828
Linux-aarch64-AWS, iwasm, bicg, starting, timestamp, 1696844969215155
Linux-aarch64-AWS, iwasm, bicg, main, timestamp, 1696844969220972
Linux-aarch64-AWS, iwasm, bicg, start, timestamp, 1696844969310122
Linux-aarch64-AWS, iwasm, bicg, end, timestamp, 1696844969482081
Linux-aarch64-AWS, iwasm, bicg, accumulated, elapsed time, 171959
Linux-aarch64-AWS, iwasm, bicg, calling, timestamp, 1696844969511345
Linux-aarch64-AWS, iwasm, bicg, starting, timestamp, 1696844969512662
Linux-aarch64-AWS, iwasm, bicg, main, timestamp, 1696844969518452
Linux-aarch64-AWS, iwasm, bicg, start, timestamp, 1696844969607680
Linux-aarch64-AWS, iwasm, bicg, end, timestamp, 1696844969779626
Linux-aarch64-AWS, iwasm, bicg, accumulated, elapsed time, 171946
Linux-aarch64-AWS, iwasm, bicg, calling, timestamp, 1696844969808675
Linux-aarch64-AWS, iwasm, bicg, starting, timestamp, 1696844969810007
Linux-aarch64-AWS, iwasm, bicg, main, timestamp, 1696844969815807
Linux-aarch64-AWS, iwasm, bicg, start, timestamp, 1696844969904957
Linux-aarch64-AWS, iwasm, bicg, end, timestamp, 1696844970076991
Linux-aarch64-AWS, iwasm, bicg, accumulated, elapsed time, 172034
Linux-aarch64-AWS, iwasm, bicg, calling, timestamp, 1696844970105987
Linux-aarch64-AWS, iwasm, bicg, starting, timestamp, 1696844970107306
Linux-aarch64-AWS, iwasm, bicg, main, timestamp, 1696844970113053
Linux-aarch64-AWS, iwasm, bicg, start, timestamp, 1696844970202250
Linux-aarch64-AWS, iwasm, bicg, end, timestamp, 1696844970374294
Linux-aarch64-AWS, iwasm, bicg, accumulated, elapsed time, 172044
Linux-aarch64-AWS, iwasm, bicg, calling, timestamp, 1696844970403466
Linux-aarch64-AWS, iwasm, bicg, starting, timestamp, 1696844970404790
Linux-aarch64-AWS, iwasm, bicg, main, timestamp, 1696844970410589
Linux-aarch64-AWS, iwasm, bicg, start, timestamp, 1696844970499828
Linux-aarch64-AWS, iwasm, bicg, end, timestamp, 1696844970671758
Linux-aarch64-AWS, iwasm, bicg, accumulated, elapsed time, 171930
Linux-aarch64-AWS, iwasm, bicg, calling, timestamp, 1696844970700849
Linux-aarch64-AWS, iwasm, bicg, starting, timestamp, 1696844970702152
Linux-aarch64-AWS, iwasm, bicg, main, timestamp, 1696844970707899
Linux-aarch64-AWS, iwasm, bicg, start, timestamp, 1696844970797159
Linux-aarch64-AWS, iwasm, bicg, end, timestamp, 1696844970969131
Linux-aarch64-AWS, iwasm, bicg, accumulated, elapsed time, 171972
Linux-aarch64-AWS, iwasm, bicg, calling, timestamp, 1696844970998379
Linux-aarch64-AWS, iwasm, bicg, starting, timestamp, 1696844970999687
Linux-aarch64-AWS, iwasm, bicg, main, timestamp, 1696844971005476
Linux-aarch64-AWS, iwasm, bicg, start, timestamp, 1696844971094659
Linux-aarch64-AWS, iwasm, bicg, end, timestamp, 1696844971266646
Linux-aarch64-AWS, iwasm, bicg, accumulated, elapsed time, 171987
Linux-aarch64-AWS, native, 3mm, calling, timestamp, 1696844875042061
Linux-aarch64-AWS, native, 3mm, starting, timestamp, 1696844875043234
Linux-aarch64-AWS, native, 3mm, main, timestamp, 1696844875044451
Linux-aarch64-AWS, native, 3mm, start, timestamp, 1696844875061313
Linux-aarch64-AWS, native, 3mm, end, timestamp, 1696844879390559
Linux-aarch64-AWS, native, 3mm, accumulated, elapsed time, 4329246
Linux-aarch64-AWS, wasmtime, 3mm, calling, timestamp, 1696844881120583
Linux-aarch64-AWS, wasmtime, 3mm, starting, timestamp, 1696844881123575
Linux-aarch64-AWS, wasmtime, 3mm, main, timestamp, 1696844881179794
Linux-aarch64-AWS, wasmtime, 3mm, start, timestamp, 1696844881200750
Linux-aarch64-AWS, wasmtime, 3mm, end, timestamp, 1696844886994336
Linux-aarch64-AWS, wasmtime, 3mm, accumulated, elapsed time, 5793586
Linux-aarch64-AWS, iwasm, 3mm, calling, timestamp, 1696844890647074
Linux-aarch64-AWS, iwasm, 3mm, starting, timestamp, 1696844890648445
Linux-aarch64-AWS, iwasm, 3mm, main, timestamp, 1696844890654263
Linux-aarch64-AWS, iwasm, 3mm, start, timestamp, 1696844890756836
Linux-aarch64-AWS, iwasm, 3mm, end, timestamp, 1696844959840032
Linux-aarch64-AWS, iwasm, 3mm, accumulated, elapsed time, 69083196
Linux-aarch64-AWS, native, doitgen, calling, timestamp, 1696844971719565
Linux-aarch64-AWS, native, doitgen, starting, timestamp, 1696844971720758
Linux-aarch64-AWS, native, doitgen, main, timestamp, 1696844971721952
Linux-aarch64-AWS, native, doitgen, start, timestamp, 1696844971735725
Linux-aarch64-AWS, native, doitgen, end, timestamp, 1696844972247041
Linux-aarch64-AWS, native, doitgen, accumulated, elapsed time, 511316
Linux-aarch64-AWS, wasmtime, doitgen, calling, timestamp, 1696844978361167
Linux-aarch64-AWS, wasmtime, doitgen, starting, timestamp, 1696844978364091
Linux-aarch64-AWS, wasmtime, doitgen, main, timestamp, 1696844978443640
Linux-aarch64-AWS, wasmtime, doitgen, start, timestamp, 1696844978459982
Linux-aarch64-AWS, wasmtime, doitgen, end, timestamp, 1696844979093066
Linux-aarch64-AWS, wasmtime, doitgen, accumulated, elapsed time, 633084
Linux-aarch64-AWS, iwasm, doitgen, calling, timestamp, 1696844994660960
Linux-aarch64-AWS, iwasm, doitgen, starting, timestamp, 1696844994662340
Linux-aarch64-AWS, iwasm, doitgen, main, timestamp, 1696844994668179
Linux-aarch64-AWS, iwasm, doitgen, start, timestamp, 1696844994744824
Linux-aarch64-AWS, iwasm, doitgen, end, timestamp, 1696845006455677
Linux-aarch64-AWS, iwasm, doitgen, accumulated, elapsed time, 11710853
Linux-aarch64-AWS, native, cholesky, calling, timestamp, 1696845029982337
Linux-aarch64-AWS, native, cholesky, starting, timestamp, 1696845029983522
Linux-aarch64-AWS, native, cholesky, main, timestamp, 1696845029984748
Linux-aarch64-AWS, native, cholesky, start, timestamp, 1696845053265870
Linux-aarch64-AWS, native, cholesky, end, timestamp, 1696845054501359
Linux-aarch64-AWS, native, cholesky, accumulated, elapsed time, 1235489
Linux-aarch64-AWS, wasmtime, cholesky, calling, timestamp, 1696845057851403
Linux-aarch64-AWS, wasmtime, cholesky, starting, timestamp, 1696845057854408
Linux-aarch64-AWS, wasmtime, cholesky, main, timestamp, 1696845057899783
Linux-aarch64-AWS, wasmtime, cholesky, start, timestamp, 1696845088192632
Linux-aarch64-AWS, wasmtime, cholesky, end, timestamp, 1696845089704671
Linux-aarch64-AWS, wasmtime, cholesky, accumulated, elapsed time, 1512039
Linux-aarch64-AWS, iwasm, cholesky, calling, timestamp, 1696845099011072
Linux-aarch64-AWS, iwasm, cholesky, starting, timestamp, 1696845099012452
Linux-aarch64-AWS, iwasm, cholesky, main, timestamp, 1696845099018401
Linux-aarch64-AWS, iwasm, cholesky, start, timestamp, 1696845293303188
Linux-aarch64-AWS, iwasm, cholesky, end, timestamp, 1696845320558523
Linux-aarch64-AWS, iwasm, cholesky, accumulated, elapsed time, 27255335
Linux-aarch64-AWS, native, ludcmp, calling, timestamp, 1696845802424742
Linux-aarch64-AWS, native, ludcmp, starting, timestamp, 1696845802425936
Linux-aarch64-AWS, native, ludcmp, main, timestamp, 1696845802427101
Linux-aarch64-AWS, native, ludcmp, start, timestamp, 1696845825615826
Linux-aarch64-AWS, native, ludcmp, end, timestamp, 1696845830861863
Linux-aarch64-AWS, native, ludcmp, accumulated, elapsed time, 5246037
Linux-aarch64-AWS, wasmtime, ludcmp, calling, timestamp, 1696845830877185
Linux-aarch64-AWS, wasmtime, ludcmp, starting, timestamp, 1696845830880137
Linux-aarch64-AWS, wasmtime, ludcmp, main, timestamp, 1696845830947816
Linux-aarch64-AWS, wasmtime, ludcmp, start, timestamp, 1696845861870110
Linux-aarch64-AWS, wasmtime, ludcmp, end, timestamp, 1696845869605963
Linux-aarch64-AWS, wasmtime, ludcmp, accumulated, elapsed time, 7735853
Linux-aarch64-AWS, iwasm, ludcmp, calling, timestamp, 1696845869632322
Linux-aarch64-AWS, iwasm, ludcmp, starting, timestamp, 1696845869633738
Linux-aarch64-AWS, iwasm, ludcmp, main, timestamp, 1696845869639612
Linux-aarch64-AWS, iwasm, ludcmp, start, timestamp, 1696846073352159
Linux-aarch64-AWS, iwasm, ludcmp, end, timestamp, 1696846128954713
Linux-aarch64-AWS, iwasm, ludcmp, accumulated, elapsed time, 55602554
Linux-aarch64-AWS, native, lu, calling, timestamp, 1696845430917871
Linux-aarch64-AWS, native, lu, starting, timestamp, 1696845430919080
Linux-aarch64-AWS, native, lu, main, timestamp, 1696845430920303
Linux-aarch64-AWS, native, lu, start, timestamp, 1696845454741880
Linux-aarch64-AWS, native, lu, end, timestamp, 1696845460175132
Linux-aarch64-AWS, native, lu, accumulated, elapsed time, 5433252
Linux-aarch64-AWS, wasmtime, lu, calling, timestamp, 1696845466905666
Linux-aarch64-AWS, wasmtime, lu, starting, timestamp, 1696845466908609
Linux-aarch64-AWS, wasmtime, lu, main, timestamp, 1696845466975984
Linux-aarch64-AWS, wasmtime, lu, start, timestamp, 1696845497425305
Linux-aarch64-AWS, wasmtime, lu, end, timestamp, 1696845505739844
Linux-aarch64-AWS, wasmtime, lu, accumulated, elapsed time, 8314539
Linux-aarch64-AWS, iwasm, lu, calling, timestamp, 1696845528431679
Linux-aarch64-AWS, iwasm, lu, starting, timestamp, 1696845528433170
Linux-aarch64-AWS, iwasm, lu, main, timestamp, 1696845528439348
