Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480167832
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480433144
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480433315
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 171
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480437715
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480442572
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480448928
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480448928
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480449175
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 247
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480453614
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480458619
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480463738
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480463738
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480463931
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 193
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480468719
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480474338
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480480012
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480480012
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480480198
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 186
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480485165
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480491854
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480497857
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480497857
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480498091
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 234
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480502936
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480509102
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480516377
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480516377
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480516530
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 153
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480520803
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480526495
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480533108
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480533108
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480533325
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 217
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480539052
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480544408
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480551392
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480551392
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480551608
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 216
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480557011
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480561497
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480567144
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480567144
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480567344
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 200
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480572089
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480578015
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480583083
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480583083
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480583302
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 219
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480587530
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480593099
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480598931
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480598931
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480599147
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 216
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480604546
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480610565
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480617368
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480617368
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480617619
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 251
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480623542
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480630529
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480638110
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480638110
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480638358
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 248
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480644060
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480651085
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480659055
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480659055
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480659318
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 263
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480665041
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480670819
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480677290
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480677290
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480677553
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 263
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480683860
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480691245
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480698721
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480698721
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480698986
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 265
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480705283
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480711080
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480719161
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480719161
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480719425
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 264
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480725523
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480732874
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480740992
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480740992
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480741312
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 320
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480747590
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480753540
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480760214
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480760214
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480760478
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 264
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480766513
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480773076
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480779467
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480779467
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480779693
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 226
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480784356
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480789778
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480796907
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480796907
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480797122
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 215
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480803200
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480808955
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480815370
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480815370
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480815634
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 264
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480820488
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480826763
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480833645
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480833645
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480833931
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 286
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480840196
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480846826
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480853074
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480853074
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480853305
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 231
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480858123
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480864097
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480870198
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480870198
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480870415
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 217
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480876153
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480881914
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480888862
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480888862
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480889170
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 308
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480895883
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480903552
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480910846
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480910846
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480911109
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 263
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480917241
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480924067
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480930263
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480930263
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480930602
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 339
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480937155
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480943487
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480951413
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480951413
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480951734
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 321
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480957026
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480963430
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480971366
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480971366
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480971628
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 262
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480976787
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480982310
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480990243
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480990243
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480990506
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 263
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480997629
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481004388
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481012219
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481012219
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481012520
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 301
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481018336
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481025035
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481031422
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481031422
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481031668
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 246
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481037871
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481044171
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481050203
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481050203
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481050411
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 208
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481054925
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481060305
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481067421
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481067421
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481067625
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 204
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481073026
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481078673
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481084861
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481084861
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481085046
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 185
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481091560
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481098235
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481104822
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481104822
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481105093
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 271
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481111231
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481117668
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481124593
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481124593
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481124961
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 368
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481131740
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481139322
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481148501
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481148501
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481148793
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 292
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481155909
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481162748
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481168281
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481168281
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481168496
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 215
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481174391
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481179951
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481188912
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481188912
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481189152
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 240
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481195663
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481202127
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481211027
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481211027
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481211327
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 300
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481218180
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481225147
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481231622
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481231622
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481231908
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 286
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481236727
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481243031
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481249652
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481249652
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481249930
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 278
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481256489
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481263585
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481270340
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481270340
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481270604
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 264
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481276953
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481283214
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481290275
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481290275
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481290495
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 220
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481295979
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481302483
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481309431
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481309431
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481309709
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 278
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481316134
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481322780
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481329881
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481329881
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481330202
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 321
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481336473
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481343403
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481349535
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481349535
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481349721
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 186
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481355521
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481361181
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843481366831
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843481366831
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843481367062
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 231
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843481372201
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843481377528
